group,variable,value
2-Jan-19,AGRO,0.15
2-Jan-19,CONSUMP,1.14
2-Jan-19,FINCIAL,0.39
2-Jan-19,INDUS,0.62
2-Jan-19,PROPCON,0.22
2-Jan-19,RESOURC,0.1
2-Jan-19,SERVICE,0.25
2-Jan-19,TECH,0.01
3-Jan-19,AGRO,0.13
3-Jan-19,CONSUMP,0.9
3-Jan-19,FINCIAL,0.15
3-Jan-19,INDUS,1.11
3-Jan-19,PROPCON,0.39
3-Jan-19,RESOURC,0.43
3-Jan-19,SERVICE,0.68
3-Jan-19,TECH,0.33
4-Jan-19,AGRO,0.12
4-Jan-19,CONSUMP,0.42
4-Jan-19,FINCIAL,0.21
4-Jan-19,INDUS,1.49
4-Jan-19,PROPCON,0.46
4-Jan-19,RESOURC,2.43
4-Jan-19,SERVICE,0.83
4-Jan-19,TECH,1.19
7-Jan-19,AGRO,1.07
7-Jan-19,CONSUMP,0.2
7-Jan-19,FINCIAL,1.31
7-Jan-19,INDUS,0.83
7-Jan-19,PROPCON,0.54
7-Jan-19,RESOURC,1.94
7-Jan-19,SERVICE,0.74
7-Jan-19,TECH,1.03
8-Jan-19,AGRO,0.39
8-Jan-19,CONSUMP,0.53
8-Jan-19,FINCIAL,0.04
8-Jan-19,INDUS,0.24
8-Jan-19,PROPCON,0.11
8-Jan-19,RESOURC,0.2
8-Jan-19,SERVICE,0.09
8-Jan-19,TECH,0.42
9-Jan-19,AGRO,0.2
9-Jan-19,CONSUMP,0.14
9-Jan-19,FINCIAL,0.05
9-Jan-19,INDUS,0.55
9-Jan-19,PROPCON,0.16
9-Jan-19,RESOURC,0.07
9-Jan-19,SERVICE,0.84
9-Jan-19,TECH,0.1
10-Jan-19,AGRO,0.79
10-Jan-19,CONSUMP,0.21
10-Jan-19,FINCIAL,0.76
10-Jan-19,INDUS,0.14
10-Jan-19,PROPCON,0.17
10-Jan-19,RESOURC,0.48
10-Jan-19,SERVICE,0.07
10-Jan-19,TECH,2.15
11-Jan-19,AGRO,0.4
11-Jan-19,CONSUMP,0.51
11-Jan-19,FINCIAL,0.05
11-Jan-19,INDUS,0.28
11-Jan-19,PROPCON,0.49
11-Jan-19,RESOURC,0.75
11-Jan-19,SERVICE,1.86
11-Jan-19,TECH,1.31
14-Jan-19,AGRO,0.47
14-Jan-19,CONSUMP,0.79
14-Jan-19,FINCIAL,0.43
14-Jan-19,INDUS,5.1
14-Jan-19,PROPCON,0.36
14-Jan-19,RESOURC,1.74
14-Jan-19,SERVICE,0.06
14-Jan-19,TECH,0.61
15-Jan-19,AGRO,0.27
15-Jan-19,CONSUMP,0.19
15-Jan-19,FINCIAL,0.45
15-Jan-19,INDUS,0.29
15-Jan-19,PROPCON,0.19
15-Jan-19,RESOURC,0.69
15-Jan-19,SERVICE,0.78
15-Jan-19,TECH,0.58
16-Jan-19,AGRO,0.08
16-Jan-19,CONSUMP,0.09
16-Jan-19,FINCIAL,0.29
16-Jan-19,INDUS,0.56
16-Jan-19,PROPCON,0.6
16-Jan-19,RESOURC, -
16-Jan-19,SERVICE,0.35
16-Jan-19,TECH,0.57
17-Jan-19,AGRO,0.71
17-Jan-19,CONSUMP,0.11
17-Jan-19,FINCIAL,0.11
17-Jan-19,INDUS,0.72
17-Jan-19,PROPCON,0.85
17-Jan-19,RESOURC,0.12
17-Jan-19,SERVICE,0.1
17-Jan-19,TECH,0.4
18-Jan-19,AGRO,0.23
18-Jan-19,CONSUMP,0.23
18-Jan-19,FINCIAL,2.34
18-Jan-19,INDUS,1.47
18-Jan-19,PROPCON,0.51
18-Jan-19,RESOURC,1.39
18-Jan-19,SERVICE,0.38
18-Jan-19,TECH,0.42
21-Jan-19,AGRO,0.19
21-Jan-19,CONSUMP,0.14
21-Jan-19,FINCIAL,1.14
21-Jan-19,INDUS,1.37
21-Jan-19,PROPCON,0.17
21-Jan-19,RESOURC,1.01
21-Jan-19,SERVICE,0.67
21-Jan-19,TECH,0.14
22-Jan-19,AGRO,1.5
22-Jan-19,CONSUMP,0.41
22-Jan-19,FINCIAL,0.7
22-Jan-19,INDUS,0.77
22-Jan-19,PROPCON,0.44
22-Jan-19,RESOURC,1.14
22-Jan-19,SERVICE,1.1
22-Jan-19,TECH,0.11
23-Jan-19,AGRO,0.02
23-Jan-19,CONSUMP,0.17
23-Jan-19,FINCIAL,1.41
23-Jan-19,INDUS,0.39
23-Jan-19,PROPCON,0.98
23-Jan-19,RESOURC,0.34
23-Jan-19,SERVICE,1.23
23-Jan-19,TECH,2.72
24-Jan-19,AGRO,1.08
24-Jan-19,CONSUMP,0.36
24-Jan-19,FINCIAL,0.52
24-Jan-19,INDUS,1.2
24-Jan-19,PROPCON,0.45
24-Jan-19,RESOURC,0.63
24-Jan-19,SERVICE,0.55
24-Jan-19,TECH,0.53
25-Jan-19,AGRO,0.41
25-Jan-19,CONSUMP,0.5
25-Jan-19,FINCIAL,0.02
25-Jan-19,INDUS,2.01
25-Jan-19,PROPCON,0.98
25-Jan-19,RESOURC,0.03
25-Jan-19,SERVICE,0.32
25-Jan-19,TECH,0.58
28-Jan-19,AGRO,0.76
28-Jan-19,CONSUMP,1.08
28-Jan-19,FINCIAL,0.61
28-Jan-19,INDUS,0.95
28-Jan-19,PROPCON,0.86
