group,variable,value
6-Jan-19,AGRO,0.247477316
6-Jan-19,CONSUMP,0.51117858
6-Jan-19,FINCIAL,0.571406045
6-Jan-19,INDUS,0.540148324
6-Jan-19,PROPCON,0.656524154
6-Jan-19,RESOURC,0.889219075
6-Jan-19,SERVICE,0.863518508
6-Jan-19,TECH,0.35115501
13-Jan-19,AGRO,0.20051861
13-Jan-19,CONSUMP,0.509233308
13-Jan-19,FINCIAL,0.640756599
13-Jan-19,INDUS,0.849134626
13-Jan-19,PROPCON,0.557150734
13-Jan-19,RESOURC,0.864062565
13-Jan-19,SERVICE,0.720968004
13-Jan-19,TECH,0.285390824
20-Jan-19,AGRO,0.368890237
20-Jan-19,CONSUMP,0.397518175
20-Jan-19,FINCIAL,0.878095018
20-Jan-19,INDUS,0.906597925
20-Jan-19,PROPCON,0.724778461
20-Jan-19,RESOURC,0.807055304
20-Jan-19,SERVICE,0.976295827
20-Jan-19,TECH,0.390289098
27-Jan-19,AGRO,0.369919322
27-Jan-19,CONSUMP,0.894910905
27-Jan-19,FINCIAL,0.942979726
27-Jan-19,INDUS,1
27-Jan-19,PROPCON,0.726138428
27-Jan-19,RESOURC,0.851661002
27-Jan-19,SERVICE,0.79180313
27-Jan-19,TECH,0.406497788
3-Feb-19,AGRO,0.350916204
3-Feb-19,CONSUMP,0.595901337
3-Feb-19,FINCIAL,0.792529163
3-Feb-19,INDUS,0.799433329
3-Feb-19,PROPCON,0.631200119
3-Feb-19,RESOURC,0.677516588
3-Feb-19,SERVICE,0.769032304
3-Feb-19,TECH,0.418984527
10-Feb-19,AGRO,0.403507159
10-Feb-19,CONSUMP,0.399408364
10-Feb-19,FINCIAL,0.631168005
10-Feb-19,INDUS,0.606429006
10-Feb-19,PROPCON,0.531242901
10-Feb-19,RESOURC,0.589536886
10-Feb-19,SERVICE,0.650480812
10-Feb-19,TECH,0.402562245
17-Feb-19,AGRO,0.317667754
17-Feb-19,CONSUMP,0.206243728
17-Feb-19,FINCIAL,0.472981802
17-Feb-19,INDUS,0.639891234
17-Feb-19,PROPCON,0.461162186
17-Feb-19,RESOURC,0.480277448
17-Feb-19,SERVICE,0.588971189
17-Feb-19,TECH,0.347645951
24-Feb-19,AGRO,0.235565453
24-Feb-19,CONSUMP,0.312496391
24-Feb-19,FINCIAL,0.455547625
24-Feb-19,INDUS,0.577378314
24-Feb-19,PROPCON,0.491238837
24-Feb-19,RESOURC,0.505011272
24-Feb-19,SERVICE,0.590781202
24-Feb-19,TECH,0.37862603
3-Mar-19,AGRO,0.200262751
3-Mar-19,CONSUMP,0.327806145
3-Mar-19,FINCIAL,0.442261586
3-Mar-19,INDUS,0.657571919
3-Mar-19,PROPCON,0.324659744
3-Mar-19,RESOURC,0.39820318
3-Mar-19,SERVICE,0.478629776
3-Mar-19,TECH,0.259826626
10-Mar-19,AGRO,0.204957974
10-Mar-19,CONSUMP,0.304083691
10-Mar-19,FINCIAL,0.311275839
10-Mar-19,INDUS,0.580362524
10-Mar-19,PROPCON,0.157504841
10-Mar-19,RESOURC,0.330200919
10-Mar-19,SERVICE,0.470196855
10-Mar-19,TECH,0.16430689
17-Mar-19,AGRO,0.140281142
17-Mar-19,CONSUMP,0.118743284
17-Mar-19,FINCIAL,0.349328416
17-Mar-19,INDUS,0.506504643
17-Mar-19,PROPCON,0.172056795
17-Mar-19,RESOURC,0.397410202
17-Mar-19,SERVICE,0.412432807
17-Mar-19,TECH,0.149358272
24-Mar-19,AGRO,0.111883647
24-Mar-19,CONSUMP,0.008689357
24-Mar-19,FINCIAL,0.298430364
24-Mar-19,INDUS,0.361855748
24-Mar-19,PROPCON,0.217589989
24-Mar-19,RESOURC,0.334550599
24-Mar-19,SERVICE,0.395811841
24-Mar-19,TECH,0.156127655
31-Mar-19,AGRO,0.074775532
31-Mar-19,CONSUMP,0.089256801
31-Mar-19,FINCIAL,0.186291336
31-Mar-19,INDUS,0.219165816
31-Mar-19,PROPCON,0.235658577
31-Mar-19,RESOURC,0.223955776
31-Mar-19,SERVICE,0.273677285
31-Mar-19,TECH,0.138973186
7-Apr-19,AGRO,0
7-Apr-19,CONSUMP,0.214410567
7-Apr-19,FINCIAL,0.10319313
7-Apr-19,INDUS,0.172905925
7-Apr-19,PROPCON,0.132904897
7-Apr-19,RESOURC,0.164885879
7-Apr-19,SERVICE,0.174949286
7-Apr-19,TECH,0.155502982
14-Apr-19,AGRO,0.028758752
14-Apr-19,CONSUMP,0.154915559
14-Apr-19,FINCIAL,0.050601902
14-Apr-19,INDUS,0.0066241
14-Apr-19,PROPCON,0.090242187
14-Apr-19,RESOURC,0.089220813
14-Apr-19,SERVICE,0.111612318
14-Apr-19,TECH,0.079407339
21-Apr-19,AGRO,0.008275616
21-Apr-19,CONSUMP,0.060108588
21-Apr-19,FINCIAL,0.011835429
21-Apr-19,INDUS,0.228869392
21-Apr-19,PROPCON,0.094240102
21-Apr-19,RESOURC,0.039653695
21-Apr-19,SERVICE,0.04563743
21-Apr-19,TECH,0.104488819
28-Apr-19,AGRO,0.155936463
28-Apr-19,CONSUMP,0
28-Apr-19,FINCIAL,0
28-Apr-19,INDUS,0.077435661
28-Apr-19,PROPCON,0
28-Apr-19,RESOURC,0
28-Apr-19,SERVICE,0
28-Apr-19,TECH,0.059245136
5-May-19,AGRO,0.384069607
5-May-19,CONSUMP,0.143005126
5-May-19,FINCIAL,0.082452598
5-May-19,INDUS,0
5-May-19,PROPCON,0.047465074
5-May-19,RESOURC,0.18408689
5-May-19,SERVICE,0.176063851
5-May-19,TECH,0
12-May-19,AGRO,0.675621246
12-May-19,CONSUMP,0.749752135
12-May-19,FINCIAL,0.199996211
12-May-19,INDUS,0.258911182
12-May-19,PROPCON,0.060018412
12-May-19,RESOURC,0.382193825
12-May-19,SERVICE,0.370313468
12-May-19,TECH,0.154293042
19-May-19,AGRO,0.673504166
19-May-19,CONSUMP,0.520240862
19-May-19,FINCIAL,0.249723886
19-May-19,INDUS,0.326535905
19-May-19,PROPCON,0.146317247
19-May-19,RESOURC,0.405611317
19-May-19,SERVICE,0.379462392
19-May-19,TECH,0.169199505
26-May-19,AGRO,0.544857675
26-May-19,CONSUMP,0.413068642
26-May-19,FINCIAL,0.187004257
26-May-19,INDUS,0.299723234
26-May-19,PROPCON,0.167343174
26-May-19,RESOURC,0.351578019
26-May-19,SERVICE,0.552419031
26-May-19,TECH,0.185926797
2-Jun-19,AGRO,0.491826227
2-Jun-19,CONSUMP,0.518422862
2-Jun-19,FINCIAL,0.293557065
2-Jun-19,INDUS,0.182480199
2-Jun-19,PROPCON,0.524492359
2-Jun-19,RESOURC,0.309348192
2-Jun-19,SERVICE,0.665955724
2-Jun-19,TECH,0.148886343
9-Jun-19,AGRO,0.391840593
9-Jun-19,CONSUMP,0.256492503
9-Jun-19,FINCIAL,0.284894465
9-Jun-19,INDUS,0.050554617
9-Jun-19,PROPCON,0.328668143
9-Jun-19,RESOURC,0.268586646
9-Jun-19,SERVICE,0.528225733
9-Jun-19,TECH,0.198008792
16-Jun-19,AGRO,0.452555472
16-Jun-19,CONSUMP,0.305484447
16-Jun-19,FINCIAL,0.392369584
16-Jun-19,INDUS,0.168220906
16-Jun-19,PROPCON,0.441729651
16-Jun-19,RESOURC,0.635200702
16-Jun-19,SERVICE,0.971073726
16-Jun-19,TECH,0.338151326
23-Jun-19,AGRO,0.500487814
23-Jun-19,CONSUMP,0.263744921
23-Jun-19,FINCIAL,0.246894074
23-Jun-19,INDUS,0.062397886
23-Jun-19,PROPCON,0.450274088
23-Jun-19,RESOURC,0.5656523
23-Jun-19,SERVICE,0.782523677
23-Jun-19,TECH,0.528539952
30-Jun-19,AGRO,0.474877604
30-Jun-19,CONSUMP,0.203375607
30-Jun-19,FINCIAL,0.302452116
30-Jun-19,INDUS,0.270698337
30-Jun-19,PROPCON,0.348373993
30-Jun-19,RESOURC,0.671995563
30-Jun-19,SERVICE,0.658552966
30-Jun-19,TECH,0.55071333
7-Jul-19,AGRO,0.490204842
7-Jul-19,CONSUMP,0.119109897
7-Jul-19,FINCIAL,0.215299505
7-Jul-19,INDUS,0.292254306
7-Jul-19,PROPCON,0.213192172
7-Jul-19,RESOURC,0.596583407
7-Jul-19,SERVICE,0.619917414
7-Jul-19,TECH,0.609750286
14-Jul-19,AGRO,0.49990839
14-Jul-19,CONSUMP,0.008982648
14-Jul-19,FINCIAL,0.186578123
14-Jul-19,INDUS,0.248117224
14-Jul-19,PROPCON,0.359233933
